keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
윤유선,55276,"윤유선, 갑자기 시작된 ‘남편’ 이성호의 역사 수업에 어리둥절",20758,88,0
윤유선,55276,배우 윤유선 ♥ 변호사 이성호 부부의 맵디 매운 첫 예능 동반 출연🥵 판사님 괜찮으시겠어요...?ㄷㄷ | KBS 260214 방송,109529,776,76
윤유선,55276,"이성호, 윤유선 향해 잠들기 전까지 보여주는 장꾸 모먼트★",101292,256,0
에반게리온,458123,에반게리온 완전 신작 애니 시리즈 발표!!,12100,213,124
에반게리온,458123,에반게리온 신작 제작 확정! 애니매이션 티져 공개,5723,114,13
에반게리온,458123,엔드 오브 에반게리온 │ 에바2호기 아스카의 최후,723819,6847,310
찬란한 너의 계절에,110861,"[찬란한 너의 계절에 1~2회 코멘터리] 이성경X채종협X이미숙X감독님과 함께 하는 생생한 이야기 속으로!, MBC 260221 방송",2976,265,30
찬란한 너의 계절에,110861,"실험실에서 살아난 불사신이 떴따..! 살아남은 한 남자가 자신의 기억을 되찾아가면서, 얼짱 미모력을 가진 극 I를 녹여버리는 파격 로맨스 ≪찬란한 너의 계절에≫ 1~2",86601,747,35
찬란한 너의 계절에,110861,"[찬란한 너의 계절에 3회 예고] ＂안 마주치게 내가 아예 떠날게요＂, MBC 260227 방송",27043,304,22
김규리,162798,"[자막뉴스] 이하늘·김규리, 함께 춤 췄다가...신고 당해 단속 '날벼락' / YTN",26988,231,425
김규리,162798,식당서 김규리와 노래·댄스 이하늘 식당 구청까지 출동? / KNN,25848,252,350
김규리,162798,"김규리, 가슴 대역과 엉덩이 대역의 진실 │ 노빠꾸탁재훈 시즌4 EP.07",328435,7094,2563
유튜브 문제가 발생했습니다,492194,유튜브 접속 오류…홈 화면 정지에 이용자 불편 / 연합뉴스TV (YonhapnewsTV),79858,798,555
유튜브 문제가 발생했습니다,492194,"[속보] 설 연휴 마지막날 유튜브 일부 장애…""문제 발생""
 / 연합뉴스TV (YonhapnewsTV)",43763,585,277
유튜브 문제가 발생했습니다,492194,유튜브 문제가 발생했습니다 오류 초간단 해결법?,31417,181,143
차가원,484951,"[문화연예 플러스] 차가원 회장, 불륜설 보도에 법적 대응 (2025.12.30/뉴스투데이/MBC)",28190,213,100
차가원,484951,"[빠른뉴스 쨉] ""임신 노력했는데""…MC몽·차가원, 120억짜리 '불륜'",341618,752,629
차가원,484951,"[시사쇼 정치다] MC몽, 120억 빌려준 차가원 회장과 '불륜설'···""카톡 조작"" 의혹 강력 부인",1096545,5606,1992
차지연,125133,차지연(チャジヨン) – 고독한 연인(孤独な恋人)｜현역가왕3 10회,84180,2535,494
차지연,125133,"현역가왕3 차지연 고독한연인 (풀) (현역가왕3 준결승 2R 뒤집기한판)(차지연노래모음, 차지연 복면가왕, 차지연 현역가왕3, 차지연 노래, 현역가왕3 10회, 현역가왕3노래모음)",27403,815,131
차지연,125133,차지연(チャジヨン) – 테스형!(テス兄さん)｜현역가왕3 8회,359610,5773,1471
김태리,336633,"숙소에서는 태리쌤이랑, 연극반에서는 아이들이랑🥰 어딜 가든 인기 만점 감자쌤ㅋㅋ🥔 #highlight #방과후태리쌤 EP.1",141844,1870,106
김태리,336633,태리쌤도 선생님은 처음이라😢 초보 선생님 김태리의 첫 연극 수업 도전기👩‍🏫 #방과후태리쌤 EP.1 | tvN 260222 방송,28866,661,64
김태리,336633,"김태리, 인천공항 출국 | Kim Taeri Airport Departure",250,33,5
금잔디,441230,금잔디(グムザンディ) – 바람에 흔들리고 비에 젖어도(風に揺れ、雨に濡れても)｜현역가왕3 10회,25420,566,155
금잔디,441230,금잔디(グムザンディ) – 고속도로 메들리(高速道路メドレー)｜현역가왕3 9회,170781,1903,1431
금잔디,441230,[#현역가왕3] 오늘 놀러왔어요? 금잔디에 혹평 날리는 서주경 ㄷㄷ 금잔디VS홍지윤 심사평 #치트키,213739,1668,1655
안소진,461731,아이돌 연습생의 비극적인 죽음,3032,19,2
안소진,461731,20140615 베이비카라 쇼케이스 STEP (소진 ver.),73903,343,132
안소진,461731,남자친구에게 ㅁㅁ당한 걸그룹 멤버 GTV,7764578,59746,3072
문상민,33176,"[ENG/JPN] ""형 꺼나 해액🙄‼️"" 싸우면 매니저가 먼저 눈치 보는 댕X댕 조합🐶l 세븐틴(SEVENTEEN) 승관 l 배우 문상민 l 부승관의 비비디바비디부",265953,13916,621
문상민,33176,#THUNDER ⚡️ with #문상민 #MOONSANGMIN #승관 #SEUNGKWAN #SEVENTEEN #세븐틴 #HAPPY_BURSTDAY #SVT_THUNDER,1248538,80889,327
문상민,33176,#류진 과 #문상민 님의 #GWBGChallenge -!ㄴ 뮤직뱅크를 뒤집어 놓으셨다 ˶˙ᵕ˙ )ﾉﾞ #ITZY #RYUJIN #ITZY_GWBG,857237,43958,248
eric dane,1000000,'Grey's Anatomy's' Eric Dane says he has 'one functioning arm' after ALS diagnosis in new interview,2052454,23149,3788
eric dane,1000000,Eric Dane’s Final Message To His Daughters and The World | Famous Last Words | Netflix,3875047,172170,8248
eric dane,1000000,Eric Dane | Famous Last Words | Netflix,511893,5646,440
박진희,135937,"김희정, 박진희의 아들을 후계자로 올리겠다는 최재성에 분노 폭발! [붉은 진주] | KBS 260224 방송",15095,85,0
박진희,135937,KBS2TV 새 일일극 ‘붉은 진주’의 두 주인공 - 박진희 배우 & 김희정 배우 [아침마당] | KBS 260224 방송,5585,55,3
박진희,135937,[1회 하이라이트] 사실은 불륜? 모든 진실을 알게 된 박진희 [붉은 진주] | KBS 260223 방송,77762,253,37
윤하,486285,[선공개] 윤하&IVE 안유진 - 사건의 지평선 | 우쥬레코드,314673,10468,682
윤하,486285,Seasonal Crime,1981851,21862,776
xg,1000000,XG - ROCK THE BOAT (Official Music Video),1718920,153158,7456
xg,1000000,XG - GALA (Official Music Video),24172593,400266,19295
홍자,224563,홍자(ホンジャ) – 시네마 천국(シネマ天国)｜현역가왕3 10회,31256,1162,483
홍자,224563,홍자 - 시네마 천국｜현역가왕3 10회 260224 방송｜CReAstudio,30034,1101,535
홍자,224563,충격! 벼랑 끝 홍자 또 똑같은 무대에 설운도 반응이?#shorts,6746,200,13
아너 그녀들의 법정,18175,[아너] 증거 넘기라며 동료에게 실탄 장전한 형사의 정체 | EP.08,24370,171,18
아너 그녀들의 법정,18175,"[아너] ""수사 기관의 빠른 수사를 촉구합니다"" 생방송에서 ㅅㅁㅁ 어플을 폭로한 이나영 | EP.08",10966,72,9
아너 그녀들의 법정,18175,[9회 예고] 온 국민이 경악한 성매매 어플 스캔들 그리고 움직이는 사건의 진짜 배후 #아너,13534,73,3
정동원,469261,"‘잠시 안녕’ 정동원, 오늘 해병대 입대…18개월 복무 후 제대 / 채널A / 뉴스TOP 10",65795,1533,225
정동원,469261,"가수 정동원, 해병대 입대…“스스로와의 약속” / 채널A / 뉴스A 라이브",29266,840,74
강풍 경보,828846,"인천·경기 서남부 강풍경보 격상…""서 있기 힘들 정도"" / 연합뉴스TV (YonhapnewsTV)",45076,144,31
강풍 경보,828846,전국에 강풍 경보·주의보...제보로 본 피해 상황 / YTN,2964,16,0
강풍 경보,828846,"""눈 걱정하다 바람에 날아가게 생겼음"" 수도권 전역 강풍주의보…순간풍속 시속 70㎞｜한파주의보 함께 내려지며 체감온도 낮아 [현장쏙] / 연합뉴스TV(YonhapnewsTV)",61840,269,2
thời tiết ngày mai,1000000,Dự báo thời tiết tối nay và ngày mai 25/2 | Dự báo thời tiết đêm nay mới nhất | Báo Nhân Dân,37242,174,1
thời tiết ngày mai,1000000,Dự báo thời tiết hôm nay và ngày mai 26/2/2026 | Dự báo thời tiết trong 3 ngày tới,3761,23,0
thời tiết ngày mai,1000000,Dự báo thời tiết hôm nay và ngày mai 25/2 | Dự báo thời tiết đêm nay mới nhất,87347,806,23
일기예보,1000000,[날씨] 오늘 전국 눈·비…경상도 최대 10cm 폭설 / SBS,28301,292,66
일기예보,1000000,[날씨] 오전부터 전국 눈·비…영남 강하고 많은 눈 / 연합뉴스TV (YonhapnewsTV),2756,68,7
일기예보,1000000,[날씨] 내일 건조함 달래줄 비·눈…영남 최고 10cm  폭설 [MBN 뉴스7],3765,69,9
대구 날씨,1000000,"'대설주의보' 대구·경북···내일 아침까지 눈, 비 | 대구MBC뉴스",3299,20,2
대구 날씨,1000000,[날씨] 전국 비나 눈…내륙 곳곳 대설특보 / 연합뉴스TV (YonhapnewsTV),7639,111,11
